,0
"(0, 0)",0.0
"(0, 1)",13.8983
"(0, 2)",13.8983
"(0, 3)",13.8983
"(0, 4)",13.8983
"(0, 5)",13.8983
"(0, 6)",6.4967
"(0, 7)",6.4967
"(0, 8)",6.4967
"(0, 9)",10.645
"(0, 10)",10.645
"(0, 11)",0.0
"(0, 12)",9.8883
"(0, 13)",9.8883
"(0, 14)",9.8883
"(0, 15)",9.8883
"(0, 16)",9.8883
"(0, 17)",23.7383
"(0, 18)",23.7383
"(0, 19)",0.0
"(0, 20)",23.7383
"(0, 21)",23.7383
"(0, 22)",0.0
"(0, 23)",23.7383
"(0, 24)",23.7383
"(0, 25)",0.0
"(0, 26)",23.7383
"(0, 27)",23.7383
"(0, 28)",22.28
"(0, 29)",22.28
"(0, 30)",22.28
"(0, 31)",22.28
"(0, 32)",22.28
"(0, 33)",0.0
"(0, 34)",16.8917
"(0, 35)",16.8917
"(0, 36)",16.8917
"(0, 37)",0.0
"(0, 38)",0.0
"(0, 39)",16.8917
"(0, 40)",16.8917
"(0, 41)",16.8917
"(0, 42)",0.0
"(0, 43)",11.2267
"(0, 44)",11.2267
"(0, 45)",4.5317
"(0, 46)",4.5317
"(0, 47)",4.5317
"(0, 48)",4.5317
"(0, 49)",4.5317
"(0, 50)",8.9083
"(0, 51)",8.9083
"(0, 52)",0.0
"(0, 53)",8.9083
"(0, 54)",8.9083
"(0, 55)",0.0
"(0, 56)",8.9083
"(0, 57)",8.9083
"(0, 58)",0.0
"(0, 59)",8.9083
"(0, 60)",8.9083
"(0, 61)",0.0
"(0, 62)",93.6533
"(0, 63)",93.6533
"(0, 64)",0.0
"(0, 65)",93.6533
"(0, 66)",93.6533
"(0, 67)",0.0
"(0, 68)",93.6533
"(0, 69)",93.6533
"(0, 70)",0.0
"(0, 71)",7.37
"(0, 72)",7.37
"(0, 73)",7.37
"(0, 74)",7.37
"(0, 75)",7.37
"(0, 76)",0.0
"(0, 77)",16.28
"(0, 78)",16.28
"(0, 79)",16.28
"(0, 80)",0.0
"(0, 81)",9.5
"(0, 82)",9.5
"(0, 83)",0.0
"(0, 84)",9.5
"(0, 85)",9.5
"(0, 86)",0.0
"(0, 87)",9.5
"(0, 88)",9.5
"(0, 89)",0.0
"(0, 90)",9.5
"(0, 91)",9.5
"(0, 92)",0.0
"(0, 93)",9.5
"(0, 94)",9.5
"(0, 95)",0.0
"(0, 96)",0.0
"(0, 97)",11.4667
"(0, 98)",11.4667
"(0, 99)",11.4667
"(0, 100)",0.0
"(0, 101)",4.5433
"(0, 102)",4.5433
"(0, 103)",4.5433
"(0, 104)",4.5433
"(0, 105)",4.5433
"(0, 106)",0.0
"(0, 107)",10.645
"(0, 108)",10.645
"(0, 109)",10.645
"(0, 110)",0.0
"(0, 111)",0.0
"(0, 112)",10.645
"(0, 113)",10.645
"(0, 114)",10.645
"(0, 115)",0.0
"(0, 116)",0.0
"(0, 117)",10.645
"(0, 118)",10.645
"(0, 119)",10.645
"(0, 120)",0.0
"(0, 121)",0.0
"(0, 122)",10.645
"(0, 123)",10.645
"(0, 124)",10.645
"(0, 125)",0.0
"(0, 126)",0.0
"(0, 127)",10.645
"(0, 128)",10.645
"(0, 129)",10.645
"(0, 130)",0.0
"(0, 131)",0.0
"(0, 132)",25.3583
"(0, 133)",25.3583
"(0, 134)",25.3583
"(0, 135)",0.0
"(0, 136)",0.0
"(0, 137)",25.3583
"(0, 138)",25.3583
"(0, 139)",25.3583
"(0, 140)",0.0
"(0, 141)",0.0
"(0, 142)",25.3583
"(0, 143)",25.3583
"(0, 144)",25.3583
"(0, 145)",0.0
"(0, 146)",0.0
"(0, 147)",25.3583
"(0, 148)",25.3583
"(0, 149)",25.3583
"(0, 150)",0.0
"(0, 151)",0.0
"(0, 152)",25.3583
"(0, 153)",25.3583
"(0, 154)",25.3583
"(0, 155)",0.0
"(1, 0)",15.0467
"(1, 1)",0.0
"(1, 2)",0.0
"(1, 3)",0.0
"(1, 4)",0.0
"(1, 5)",0.0
"(1, 6)",14.3433
"(1, 7)",14.3433
"(1, 8)",14.3433
"(1, 9)",8.6617
"(1, 10)",8.6617
"(1, 11)",15.0467
"(1, 12)",11.5633
"(1, 13)",11.5633
"(1, 14)",11.5633
"(1, 15)",11.5633
"(1, 16)",11.5633
"(1, 17)",13.785
"(1, 18)",13.785
"(1, 19)",15.0467
"(1, 20)",13.785
"(1, 21)",13.785
"(1, 22)",15.0467
"(1, 23)",13.785
"(1, 24)",13.785
"(1, 25)",15.0467
"(1, 26)",13.785
"(1, 27)",13.785
"(1, 28)",12.3267
"(1, 29)",12.3267
"(1, 30)",12.3267
"(1, 31)",12.3267
"(1, 32)",12.3267
"(1, 33)",15.0467
"(1, 34)",9.4817
"(1, 35)",9.4817
"(1, 36)",9.4817
"(1, 37)",15.0467
"(1, 38)",15.0467
"(1, 39)",9.4817
"(1, 40)",9.4817
"(1, 41)",9.4817
"(1, 42)",15.0467
"(1, 43)",17.2817
"(1, 44)",17.2817
"(1, 45)",12.0617
"(1, 46)",12.0617
"(1, 47)",12.0617
"(1, 48)",12.0617
"(1, 49)",12.0617
"(1, 50)",16.7117
"(1, 51)",16.7117
"(1, 52)",15.0467
"(1, 53)",16.7117
"(1, 54)",16.7117
"(1, 55)",15.0467
"(1, 56)",16.7117
"(1, 57)",16.7117
"(1, 58)",15.0467
"(1, 59)",16.7117
"(1, 60)",16.7117
"(1, 61)",15.0467
"(1, 62)",98.9817
"(1, 63)",98.9817
"(1, 64)",15.0467
"(1, 65)",98.9817
"(1, 66)",98.9817
"(1, 67)",15.0467
"(1, 68)",98.9817
"(1, 69)",98.9817
"(1, 70)",15.0467
"(1, 71)",13.1783
"(1, 72)",13.1783
